====================================================================================================
TOOLS STRING ISSUE (240 agents)
====================================================================================================
Path,Current Tools Value
"dmb-offline-first-architect.md","Read, Write, Edit, Bash, Grep, Glob, WebSearch"
"dmb-prisma-unwinder.md","Read, Write, Edit, Bash, Grep, Glob"
"dmb-pwa-debugger.md","Read, Write, Edit, Bash, Grep, Glob"
"dmb-scraper-debugger.md","Read, Write, Edit, Bash, Grep, Glob, WebFetch"
"dmb-setlist-pattern-analyzer.md","Read, Grep, Glob, WebFetch"
"dmb-setlist-validator.md","Read, Grep, Glob"
"dmb-show-analyzer.md","Read, Grep, Glob, WebFetch"
"dmb-show-validator.md","Read, Grep, Glob"
"dmb-song-stats-checker.md","Read, Grep, Glob"
"dmb-sqlite-specialist.md","Read, Write, Edit, Bash, Grep, Glob"
"dmb-tour-optimizer.md","Read, Grep, Glob, WebFetch"
"dmb-venue-consistency-checker.md","Read, Grep, Glob"
"ecommerce/E-commerce Analyst.md","Read, Write, Grep, Glob, WebSearch"
"ecommerce/ecommerce-orchestrator.md","Read, Write, Edit, Grep, Glob, Task"
"ecommerce/inventory-manager.md","Read, Grep, Glob"
"ecommerce/pricing-strategist.md","Read, Grep, Glob, WebFetch, WebSearch"
"engineering/AI Video Production Engineer.md","Read, Write, Edit, Bash, Grep, Glob"
"engineering/AI-ML Engineer.md","Read, Write, Edit, Bash, Grep, Glob, WebSearch"
"engineering/API Architect.md","Read, Write, Edit, Bash, Grep, Glob, WebSearch"
"engineering/API Endpoint Mapper.md","Read, Grep, Glob"
"engineering/ARIA Pattern Finder.md","Read, Grep, Glob"
"engineering/Accessibility Specialist.md","Read, Write, Edit, Bash, Grep, Glob"
"engineering/Apple Silicon Optimizer.md","Read, Write, Edit, Bash, Grep, Glob"
"engineering/Batch Formatter.md","Bash, Glob"
"engineering/Build Time Profiler.md","Read, Grep, Glob"
"engineering/Bundle Entry Analyzer.md","Read, Grep, Glob"
"engineering/Bundle Size Analyzer.md","Read, Write, Edit, Bash, Grep, Glob, WebSearch"
"engineering/CSS Specificity Checker.md","Read, Grep, Glob"
"engineering/Chromium Browser Expert.md","Read, Write, Edit, Bash, Grep, Glob, WebSearch"
"engineering/Clarifying Questioner.md","Read, Grep, Glob"
"engineering/Client Database Migration Specialist.md","Read, Write, Edit, Bash, Grep, Glob"
"engineering/Code Pattern Matcher.md","Grep, Glob"
"engineering/Code Reviewer.md","Read, Grep, Glob"
"engineering/Code Simplifier.md","Read, Write, Edit, Bash, Grep, Glob"
"engineering/Complexity Calculator.md","Read, Grep, Glob"
"engineering/Component Prop Validator.md","Read, Grep, Glob"
"engineering/Core ML Optimization Expert.md","Read, Write, Edit, Bash, Grep, Glob, WebSearch"
"engineering/Cross-Platform PWA Specialist.md","Read, Write, Edit, Grep, Glob, Bash, WebSearch"
"engineering/D3 Visualization Expert.md","Read, Write, Edit, Grep, Glob"
"engineering/Data Streaming Specialist.md","Read, Write, Edit, Bash, Grep, Glob, WebSearch"
"engineering/Database Specialist.md","Read, Write, Edit, Bash, Grep, Glob, WebSearch"
"engineering/Dead Code Detector.md","Read, Grep, Glob"
"engineering/Dead Doc Finder.md","Read, Grep, Glob"
"engineering/Dependency Checker.md","Bash, Glob"
"engineering/Design Token Validator.md","Read, Grep, Glob"
"engineering/DevOps Engineer.md","Read, Write, Edit, Bash, Grep, Glob, WebSearch"
"engineering/DevTools MCP Integration Specialist.md","Read, Write, Edit, Bash, Grep, Glob"
"engineering/Devils Advocate.md","Read, Grep, Glob"
"engineering/Dexie Database Architect.md","Read, Write, Edit, Bash, Grep, Glob"
"engineering/Dexie React Integration Specialist.md","Read, Write, Edit, Grep, Glob"
"engineering/Dockerfile Linter.md","Read, Grep, Glob"
"engineering/Docstring Checker.md","Read, Grep, Glob"
"engineering/Engineering Manager.md","Read, Write, Edit, Bash, Grep, Glob"
"engineering/Env Var Auditor.md","Read, Grep, Glob"
"engineering/Expert Planner.md","Read, Grep, Glob, WebSearch"
"engineering/Feature Flags Specialist.md","Read, Write, Edit, Bash, Grep, Glob"
"engineering/FedCM Identity Specialist.md","Read, Write, Edit, Bash, Grep, Glob"
"engineering/File Pattern Finder.md","Glob, Grep"
"engineering/First Principles Thinker.md","Read, Grep, Glob"
"engineering/Full-Stack Developer.md","Read, Write, Edit, Bash, Grep, Glob"
"engineering/GRPC Service Analyzer.md","Read, Grep, Glob"
"engineering/GTag Event Validator.md","Read, Grep, Glob"
"engineering/Google APIs Specialist.md","Read, Write, Edit, Bash, Grep, Glob, WebSearch"
"engineering/GraphQL Query Analyzer.md","Read, Grep, Glob"
"engineering/I18n String Extractor.md","Read, Grep, Glob"
"engineering/Import Analyzer.md","Read, Grep, Glob"
"engineering/IndexedDB Performance Specialist.md","Read, Write, Edit, Bash, Grep, Glob"
"engineering/IndexedDB Storage Specialist.md","Read, Write, Edit, Bash, Grep, Glob"
"engineering/JSON Feed Validator.md","Read, Grep, Glob"
"engineering/Lighthouse WebVitals Expert.md","Read, Bash, Grep, Glob, WebSearch"
"engineering/Manifest Validator.md","Read, Grep, Glob"
"engineering/Memory Leak Detective.md","Read, Write, Edit, Bash, Grep, Glob"
"engineering/Microservices Architect.md","Read, Grep, Glob, WebSearch"
"engineering/Migration Specialist.md","Read, Write, Edit, Bash, Grep, Glob"
"engineering/Mobile Engineer.md","Read, Write, Edit, Bash, Grep, Glob"
"engineering/Mobile Viewport Checker.md","Read, Grep, Glob"
"engineering/N Plus One Detector.md","Read, Grep, Glob"
"engineering/Neural Engine Specialist.md","Read, Write, Edit, Bash, Grep, Glob"
"engineering/NextAuth Security Specialist.md","Read, Write, Edit, Bash, Grep, Glob"
"engineering/Observability Architect.md","Read, Write, Edit, Bash, Grep, Glob, WebSearch"
"engineering/Offline Capability Detector.md","Read, Grep, Glob"
"engineering/Offline Sync Specialist.md","Read, Write, Edit, Bash, Grep, Glob"
"engineering/PWA Analytics Specialist.md","Read, Write, Edit, Bash, Grep, Glob"
"engineering/PWA Build Specialist.md","Read, Write, Edit, Bash, Grep, Glob"
"engineering/PWA DevTools Debugger.md","Read, Write, Edit, Bash, Grep, Glob"
"engineering/PWA Security Specialist.md","Read, Write, Edit, Bash, Grep, Glob"
"engineering/PWA Specialist.md","Read, Write, Edit, Bash, Grep, Glob"
"engineering/PWA Testing Specialist.md","Read, Write, Edit, Bash, Grep, Glob"
"engineering/PWA Web Audio Engineer.md","Read, Write, Edit, Bash, Grep, Glob"
"engineering/Performance Optimizer.md","Read, Write, Edit, Bash, Grep, Glob"
"engineering/Permission Auditor.md","Read, Grep, Glob"
"engineering/Playwright Automation Specialist.md","Read, Write, Edit, Bash, Grep, Glob"
"engineering/Prisma Schema Architect.md","Read, Write, Edit, Bash, Grep, Glob"
"engineering/Problem Decomposer.md","Read, Grep, Glob"
"engineering/Push Notification Specialist.md","Read, Write, Edit, Grep, Glob, Bash, WebSearch"
"engineering/Python ML Pipeline Engineer.md","Read, Write, Edit, Bash, Grep, Glob"
"engineering/REST Endpoint Validator.md","Read, Grep, Glob"
"engineering/React Hook Linter.md","Read, Grep, Glob"
"engineering/Readme Section Validator.md","Read, Grep, Glob"
"engineering/Real-Time Systems Specialist.md","Read, Write, Edit, Bash, Grep, Glob, WebSearch"
"engineering/Refactoring Guru.md","Read, Write, Edit, Grep, Glob"
"engineering/Render Perf Checker.md","Read, Grep, Glob"
"engineering/Rubber Duck Debugger.md","Read, Grep, Glob"
"engineering/Runtime Error Diagnostician.md","Read, Write, Edit, Bash, Grep, Glob"
"engineering/SEO Meta Checker.md","Read, Grep, Glob"
"engineering/SQL Injection Detector.md","Read, Grep, Glob"
"engineering/SQLite Data Pipeline Specialist.md","Read, Write, Edit, Bash, Grep, Glob"
"engineering/Schema Pattern Finder.md","Read, Grep, Glob"
"engineering/Schema Validation Checker.md","Read, Grep, Glob"
"engineering/Secret Scanner.md","Read, Grep, Glob"
"engineering/Security Engineer.md","Read, Write, Edit, Bash, Grep, Glob"
"engineering/Senior Backend Engineer.md","Read, Write, Edit, Bash, Grep, Glob"
"engineering/Senior Frontend Engineer.md","Read, Write, Edit, Bash, Grep, Glob"
"engineering/Simple Validator.md","Bash, Grep, Glob"
"engineering/Swift Metal Performance Engineer.md","Read, Write, Edit, Bash, Grep, Glob"
"engineering/System Architect.md","Read, Grep, Glob, WebSearch"
"engineering/Tailwind Config Auditor.md","Read, Grep, Glob"
"engineering/Test Coverage Gap Finder.md","Read, Grep, Glob"
"engineering/Test File Finder.md","Read, Grep, Glob"
"engineering/Type Inconsistency Finder.md","Read, Grep, Glob"
"engineering/TypeScript Type Wizard.md","Read, Write, Edit, Bash, Grep, Glob"
"engineering/Unused Export Finder.md","Read, Grep, Glob"
"engineering/Vitest Testing Specialist.md","Read, Write, Edit, Bash, Grep, Glob"
"engineering/Web Manifest Expert.md","Read, Write, Edit, Bash, Grep, Glob"
"engineering/Web Speech Recognition Expert.md","Read, Write, Edit, Bash, Grep, Glob"
"engineering/Webpack Config Linter.md","Read, Grep, Glob"
"engineering/Workbox ServiceWorker Expert.md","Read, Write, Edit, Bash, Grep, Glob"
"engineering/XSS Pattern Finder.md","Read, Grep, Glob"
"engineering/Xcode Build Optimizer.md","Read, Write, Edit, Bash, Grep, Glob"
"engineering/Zustand State Architect.md","Read, Write, Edit, Grep, Glob"
"engineering/i18n Specialist.md","Read, Write, Edit, Grep, Glob, WebSearch"
"engineering/macOS System Expert.md","Read, Write, Edit, Bash, Grep, Glob"
"engineering/shadcn-ui Component Developer.md","Read, Write, Edit, Bash, Grep, Glob"
"engineering/tRPC API Architect.md","Read, Write, Edit, Bash, Grep, Glob"
"growth/Analytics Specialist.md","Read, Write, Edit, Grep, Glob, Bash, WebSearch"
"growth/Growth Hacker.md","Read, Write, Edit, Grep, Glob, Bash, WebSearch"
"growth/Growth Lead.md","Read, Write, Edit, Grep, Glob, Bash, WebSearch"
"marketing/Email Marketer.md","Read, Write, Edit, Grep, Glob, WebSearch, WebFetch"
"marketing/Head of Marketing.md","Read, Write, Grep, WebSearch, WebFetch"
"marketing/Performance Marketer.md","Read, Write, Edit, Grep, Glob, WebSearch, WebFetch"
"marketing/SEO Specialist.md","Read, Write, Edit, Grep, Glob, WebSearch, WebFetch"
"marketing/Short-Form Video Strategist.md","Read, Write, Grep, WebSearch, WebFetch"
"meta/auto-parallelization-detector.md","Read, Grep, Glob"
"meta/skill-recommender.md","Read, Grep, Glob"
"operations/Chief of Staff.md","Read, Write, Edit, Grep, Glob"
"operations/Finance Ops.md","Read, Write, Edit, Grep, Glob, WebSearch"
"operations/HR-People Ops.md","Read, Write, Edit, Grep, Glob, WebSearch"
"operations/Incident Response Engineer.md","Read, Write, Edit, Bash, Grep, Glob"
"operations/Legal Advisor.md","Read, Write, Edit, Grep, Glob, WebSearch"
"operations/Operations Manager.md","Read, Write, Edit, Grep, Glob, WebSearch"
"optimization/token-economy-orchestrator.md","Read, Write, Grep, Glob, Task"
"product/Experiment Analyzer.md","Read, Write, Bash, Grep, Glob, WebSearch"
"product/Experiment Designer.md","Read, Write, Grep, Glob, WebSearch"
"product/Product Analyst.md","Read, Grep, Glob, WebSearch"
"product/Product Manager.md","Read, Grep, Glob, WebSearch"
"product/Technical Product Owner.md","Read, Grep, Glob"
"project_management/Agile Project Manager.md","Read, Grep, Glob"
"project_management/Scrum Master.md","Read, Grep, Glob"
"project_management/Technical Program Manager.md","Read, Grep, Glob"
"semantic-cache/cache-result-adapter.md","Read, Grep, Glob"
"semantic-cache/semantic-hash-generator.md","Read, Grep, Glob"
"testing/Assertion Quality Checker.md","Read, Grep, Glob"
"testing/Automation Tester.md","Read, Write, Edit, Bash, Grep, Glob"
"testing/Flaky Test Detector.md","Read, Grep, Glob"
"testing/Mock Signature Validator.md","Read, Grep, Glob"
"testing/Performance Tester.md","Read, Write, Edit, Bash, Grep, Glob"
"testing/QA Engineer.md","Read, Write, Edit, Bash, Grep, Glob"
"workers/ai-ml-validation/agent-prompt-auditor.md","Read, Grep, Glob"
"workers/ai-ml-validation/context-window-analyzer.md","Read, Grep, Glob"
"workers/ai-ml-validation/fine-tuning-config-validator.md","Read, Grep, Glob"
"workers/ai-ml-validation/hallucination-pattern-detector.md","Read, Grep, Glob"
"workers/ai-ml-validation/model-cost-estimator.md","Read, Grep, Glob"
"workers/ai-ml-validation/vector-store-schema-checker.md","Read, Grep, Glob"
"workers/chaos/chaos-scenario-validator.md","Read, Grep, Glob"
"workers/chaos/failure-mode-simulator.md","Read, Grep, Glob"
"workers/cloud/autoscaling-config-validator.md","Read, Grep, Glob"
"workers/cloud/cloud-cost-anomaly-detector.md","Read, Grep, Glob"
"workers/cloud/iam-policy-validator.md","Read, Grep, Glob"
"workers/cloud/service-mesh-config-checker.md","Read, Grep, Glob"
"workers/data/Dexie Migration Checker.md","Read, Grep, Glob"
"workers/data/IndexedDB Schema Validator.md","Read, Grep, Glob"
"workers/dx/cli-usability-validator.md","Read, Grep, Glob"
"workers/dx/debug-experience-auditor.md","Read, Grep, Glob"
"workers/dx/error-message-clarity-checker.md","Read, Grep, Glob"
"workers/dx/eslint-rule-consistency-checker.md","Read, Grep, Glob"
"workers/dx/onboarding-complexity-analyzer.md","Read, Grep, Glob"
"workers/dx/package-json-script-validator.md","Read, Grep, Glob"
"workers/dx/typescript-strictness-auditor.md","Read, Grep, Glob"
"workers/feature-flags/flag-cleanup-detector.md","Read, Grep, Glob"
"workers/feature-flags/flag-coverage-checker.md","Read, Grep, Glob"
"workers/observability/alert-coverage-finder.md","Read, Grep, Glob"
"workers/observability/log-format-validator.md","Read, Grep, Glob"
"workers/observability/metric-schema-checker.md","Read, Grep, Glob"
"workers/observability/otel-span-validator.md","Read, Grep, Glob"
"workers/perf-extended/cdn-cache-header-validator.md","Read, Grep, Glob"
"workers/perf-extended/database-connection-pool-analyzer.md","Read, Grep, Glob"
"workers/perf-extended/react-hydration-checker.md","Read, Grep, Glob"
"workers/perf-extended/ssr-config-validator.md","Read, Grep, Glob"
"workers/testing-extended/coverage-regression-detector.md","Read, Grep, Glob"
"workers/testing-extended/snapshot-drift-detector.md","Read, Grep, Glob"
"workers/testing-extended/test-isolation-checker.md","Read, Grep, Glob"

====================================================================================================
NAMING CONVENTION ISSUES (323 agents)
====================================================================================================
Current Path,Suggested Path
"DMB Brand DNA Expert.md","dmb-brand-dna-expert.md"
"DMB Expert.md","dmb-expert.md"
"DMBAlmanac Scraper.md","dmbalmanac-scraper.md"
"DMBAlmanac Site Expert.md","dmbalmanac-site-expert.md"
"ai-ml/LLM Cost Optimizer.md","ai-ml/llm-cost-optimizer.md"
"ai-ml/ML Data Engineer.md","ai-ml/ml-data-engineer.md"
"ai-ml/ML Monitoring Agent.md","ai-ml/ml-monitoring-agent.md"
"cascading/Cascade Optimizer.md","cascading/cascade-optimizer.md"
"cascading/Cascade Orchestrator.md","cascading/cascade-orchestrator.md"
"cascading/Tier Cascader.md","cascading/tier-cascader.md"
"compiler/Agent Analyzer.md","compiler/agent-analyzer.md"
"compiler/Agent Compiler Orchestrator.md","compiler/agent-compiler-orchestrator.md"
"compiler/Fast Path Generator.md","compiler/fast-path-generator.md"
"compression/Adaptive Context Manager.md","compression/adaptive-context-manager.md"
"compression/Context Decompressor.md","compression/context-decompressor.md"
"content/Blog Writer.md","content/blog-writer.md"
"content/Content Strategist.md","content/content-strategist.md"
"content/Social Media Manager.md","content/social-media-manager.md"
"content/Technical Documentation Writer.md","content/technical-documentation-writer.md"
"data/Data Analyst.md","data/data-analyst.md"
"data/Data Scientist.md","data/data-scientist.md"
"data/Web Scraping Specialist.md","data/web-scraping-specialist.md"
"design/Brand Designer.md","design/brand-designer.md"
"design/Creative Director.md","design/creative-director.md"
"design/Design Lead.md","design/design-lead.md"
"design/Motion Designer.md","design/motion-designer.md"
"design/UI Designer.md","design/ui-designer.md"
"design/UX Designer.md","design/ux-designer.md"
"design/UX Researcher.md","design/ux-researcher.md"
"design/Web Designer.md","design/web-designer.md"
"devops/FinOps Specialist.md","devops/finops-specialist.md"
"devops/GitOps Agent.md","devops/gitops-agent.md"
"devops/Platform Engineer.md","devops/platform-engineer.md"
"ecommerce/Amazon Seller Specialist.md","ecommerce/amazon-seller-specialist.md"
"ecommerce/E-commerce Analyst.md","ecommerce/e-commerce-analyst.md"
"ecommerce/E-commerce Strategist.md","ecommerce/e-commerce-strategist.md"
"ecommerce/Etsy Specialist.md","ecommerce/etsy-specialist.md"
"ecommerce/Print on Demand Specialist.md","ecommerce/print-on-demand-specialist.md"
"ecommerce/Shopify Specialist.md","ecommerce/shopify-specialist.md"
"ecommerce/Social Commerce Specialist.md","ecommerce/social-commerce-specialist.md"
"engineering/AI Video Production Engineer.md","engineering/ai-video-production-engineer.md"
"engineering/AI-ML Engineer.md","engineering/ai-ml-engineer.md"
"engineering/API Architect.md","engineering/api-architect.md"
"engineering/API Endpoint Mapper.md","engineering/api-endpoint-mapper.md"
"engineering/ARIA Pattern Finder.md","engineering/aria-pattern-finder.md"
"engineering/Accessibility Specialist.md","engineering/accessibility-specialist.md"
"engineering/Apple Silicon Optimizer.md","engineering/apple-silicon-optimizer.md"
"engineering/Batch Formatter.md","engineering/batch-formatter.md"
"engineering/Build Time Profiler.md","engineering/build-time-profiler.md"
"engineering/Bundle Entry Analyzer.md","engineering/bundle-entry-analyzer.md"
"engineering/Bundle Size Analyzer.md","engineering/bundle-size-analyzer.md"
"engineering/CICD Pipeline Architect.md","engineering/cicd-pipeline-architect.md"
"engineering/CSS Specificity Checker.md","engineering/css-specificity-checker.md"
"engineering/Chromium Browser Expert.md","engineering/chromium-browser-expert.md"
"engineering/Clarifying Questioner.md","engineering/clarifying-questioner.md"
"engineering/Client Database Migration Specialist.md","engineering/client-database-migration-specialist.md"
"engineering/Cloud Platform Architect.md","engineering/cloud-platform-architect.md"
"engineering/Code Pattern Matcher.md","engineering/code-pattern-matcher.md"
"engineering/Code Reviewer.md","engineering/code-reviewer.md"
"engineering/Code Simplifier.md","engineering/code-simplifier.md"
"engineering/Codebase Health Monitor.md","engineering/codebase-health-monitor.md"
"engineering/Complexity Calculator.md","engineering/complexity-calculator.md"
"engineering/Component Prop Validator.md","engineering/component-prop-validator.md"
"engineering/Core ML Optimization Expert.md","engineering/core-ml-optimization-expert.md"
"engineering/Cross-Platform PWA Specialist.md","engineering/cross-platform-pwa-specialist.md"
"engineering/D3 Visualization Expert.md","engineering/d3-visualization-expert.md"
"engineering/Data Streaming Specialist.md","engineering/data-streaming-specialist.md"
"engineering/Database Architect.md","engineering/database-architect.md"
"engineering/Database Migration Specialist.md","engineering/database-migration-specialist.md"
"engineering/Database Specialist.md","engineering/database-specialist.md"
"engineering/Dead Code Detector.md","engineering/dead-code-detector.md"
"engineering/Dead Doc Finder.md","engineering/dead-doc-finder.md"
"engineering/Dependency Checker.md","engineering/dependency-checker.md"
"engineering/Design Token Validator.md","engineering/design-token-validator.md"
"engineering/DevOps Engineer.md","engineering/devops-engineer.md"
"engineering/DevTools MCP Integration Specialist.md","engineering/devtools-mcp-integration-specialist.md"
"engineering/Devils Advocate.md","engineering/devils-advocate.md"
"engineering/Dexie Database Architect.md","engineering/dexie-database-architect.md"
"engineering/Dexie React Integration Specialist.md","engineering/dexie-react-integration-specialist.md"
"engineering/Docker Container Specialist.md","engineering/docker-container-specialist.md"
"engineering/Dockerfile Linter.md","engineering/dockerfile-linter.md"
"engineering/Docstring Checker.md","engineering/docstring-checker.md"
"engineering/Engineering Manager.md","engineering/engineering-manager.md"
"engineering/Env Var Auditor.md","engineering/env-var-auditor.md"
"engineering/Expert Planner.md","engineering/expert-planner.md"
"engineering/Feature Flags Specialist.md","engineering/feature-flags-specialist.md"
"engineering/FedCM Identity Specialist.md","engineering/fedcm-identity-specialist.md"
"engineering/File Pattern Finder.md","engineering/file-pattern-finder.md"
"engineering/First Principles Thinker.md","engineering/first-principles-thinker.md"
"engineering/Full Stack Auditor.md","engineering/full-stack-auditor.md"
"engineering/Full-Stack Developer.md","engineering/full-stack-developer.md"
"engineering/GRPC Service Analyzer.md","engineering/grpc-service-analyzer.md"
"engineering/GTag Event Validator.md","engineering/gtag-event-validator.md"
"engineering/Go Backend Specialist.md","engineering/go-backend-specialist.md"
"engineering/Google APIs Specialist.md","engineering/google-apis-specialist.md"
"engineering/GraphQL Query Analyzer.md","engineering/graphql-query-analyzer.md"
"engineering/I18n String Extractor.md","engineering/i18n-string-extractor.md"
"engineering/Import Analyzer.md","engineering/import-analyzer.md"
"engineering/IndexedDB Performance Specialist.md","engineering/indexeddb-performance-specialist.md"
"engineering/IndexedDB Storage Specialist.md","engineering/indexeddb-storage-specialist.md"
"engineering/JSON Feed Validator.md","engineering/json-feed-validator.md"
"engineering/LLM Application Architect.md","engineering/llm-application-architect.md"
"engineering/Lighthouse WebVitals Expert.md","engineering/lighthouse-webvitals-expert.md"
"engineering/Manifest Validator.md","engineering/manifest-validator.md"
"engineering/Memory Leak Detective.md","engineering/memory-leak-detective.md"
"engineering/Microservices Architect.md","engineering/microservices-architect.md"
"engineering/Migration Specialist.md","engineering/migration-specialist.md"
"engineering/Mobile Engineer.md","engineering/mobile-engineer.md"
"engineering/Mobile Viewport Checker.md","engineering/mobile-viewport-checker.md"
"engineering/MongoDB Specialist.md","engineering/mongodb-specialist.md"
"engineering/N Plus One Detector.md","engineering/n-plus-one-detector.md"
"engineering/Neural Engine Specialist.md","engineering/neural-engine-specialist.md"
"engineering/NextAuth Security Specialist.md","engineering/nextauth-security-specialist.md"
"engineering/Observability Architect.md","engineering/observability-architect.md"
"engineering/Offline Capability Detector.md","engineering/offline-capability-detector.md"
"engineering/Offline Sync Specialist.md","engineering/offline-sync-specialist.md"
"engineering/PWA Analytics Specialist.md","engineering/pwa-analytics-specialist.md"
"engineering/PWA Build Specialist.md","engineering/pwa-build-specialist.md"
"engineering/PWA DevTools Debugger.md","engineering/pwa-devtools-debugger.md"
"engineering/PWA Security Specialist.md","engineering/pwa-security-specialist.md"
"engineering/PWA Specialist.md","engineering/pwa-specialist.md"
"engineering/PWA Testing Specialist.md","engineering/pwa-testing-specialist.md"
"engineering/PWA Web Audio Engineer.md","engineering/pwa-web-audio-engineer.md"
"engineering/Performance Optimizer.md","engineering/performance-optimizer.md"
"engineering/Permission Auditor.md","engineering/permission-auditor.md"
"engineering/Playwright Automation Specialist.md","engineering/playwright-automation-specialist.md"
"engineering/Prisma Schema Architect.md","engineering/prisma-schema-architect.md"
"engineering/Problem Decomposer.md","engineering/problem-decomposer.md"
"engineering/Push Notification Specialist.md","engineering/push-notification-specialist.md"
"engineering/Python Backend Specialist.md","engineering/python-backend-specialist.md"
"engineering/Python ML Pipeline Engineer.md","engineering/python-ml-pipeline-engineer.md"
"engineering/REST Endpoint Validator.md","engineering/rest-endpoint-validator.md"
"engineering/React Hook Linter.md","engineering/react-hook-linter.md"
"engineering/Readme Section Validator.md","engineering/readme-section-validator.md"
"engineering/Real-Time Systems Specialist.md","engineering/real-time-systems-specialist.md"
"engineering/Redis Cache Specialist.md","engineering/redis-cache-specialist.md"
"engineering/Refactoring Guru.md","engineering/refactoring-guru.md"
"engineering/Release Validator.md","engineering/release-validator.md"
"engineering/Render Perf Checker.md","engineering/render-perf-checker.md"
"engineering/Rubber Duck Debugger.md","engineering/rubber-duck-debugger.md"
"engineering/Runtime Error Diagnostician.md","engineering/runtime-error-diagnostician.md"
"engineering/SEO Meta Checker.md","engineering/seo-meta-checker.md"
"engineering/SQL Injection Detector.md","engineering/sql-injection-detector.md"
"engineering/SQLite Data Pipeline Specialist.md","engineering/sqlite-data-pipeline-specialist.md"
"engineering/Schema Pattern Finder.md","engineering/schema-pattern-finder.md"
"engineering/Schema Validation Checker.md","engineering/schema-validation-checker.md"
"engineering/Secret Scanner.md","engineering/secret-scanner.md"
"engineering/Security Engineer.md","engineering/security-engineer.md"
"engineering/Senior Backend Engineer.md","engineering/senior-backend-engineer.md"
"engineering/Senior Frontend Engineer.md","engineering/senior-frontend-engineer.md"
"engineering/Simple Validator.md","engineering/simple-validator.md"
"engineering/Swift Metal Performance Engineer.md","engineering/swift-metal-performance-engineer.md"
"engineering/System Architect.md","engineering/system-architect.md"
"engineering/Tailwind Config Auditor.md","engineering/tailwind-config-auditor.md"
"engineering/Task Router.md","engineering/task-router.md"
"engineering/Test Coverage Gap Finder.md","engineering/test-coverage-gap-finder.md"
"engineering/Test File Finder.md","engineering/test-file-finder.md"
"engineering/Type Inconsistency Finder.md","engineering/type-inconsistency-finder.md"
"engineering/TypeScript Type Wizard.md","engineering/typescript-type-wizard.md"
"engineering/Unused Export Finder.md","engineering/unused-export-finder.md"
"engineering/Vector Database Specialist.md","engineering/vector-database-specialist.md"
"engineering/Vitest Testing Specialist.md","engineering/vitest-testing-specialist.md"
"engineering/Web Manifest Expert.md","engineering/web-manifest-expert.md"
"engineering/Web Speech Recognition Expert.md","engineering/web-speech-recognition-expert.md"
