filename,yaml_name,model,tools,size_bytes,description
dmb-expert.md,dmb-expert,sonnet,"Read, Write, Edit, Bash, Grep, Glob, WebFetch, WebSearch",12168,"Dave Matthews Band knowledge expert for band history, members, discography,"
dmb-guest-appearance-checker.md,dmb-guest-appearance-checker,haiku,"Read, Grep, Glob",3352,Lightweight Haiku worker for validating guest appearance relationships.
dmb-guest-specialist.md,dmb-guest-specialist,haiku,"Read, Grep, Glob",9724,"Specializes in DMB guest musician tracking, instrument analysis, collaboration"
dmb-indexeddb-debugger.md,dmb-indexeddb-debugger,haiku,"Read, Write, Edit, Bash, Grep, Glob",16159,Deep IndexedDB debugging specialist for DMB Almanac. Expert in transaction
dmb-liberation-calculator.md,dmb-liberation-calculator,haiku,"Read, Grep, Glob",3827,Lightweight Haiku worker for validating liberation list calculations.
dmb-migration-coordinator.md,dmb-migration-coordinator,sonnet,"Read, Write, Edit, Bash, Grep, Glob, Task",14038,Coordinates end-to-end database migration from server-side ORMs (Drizzle/Prisma)
dmb-offline-first-architect.md,dmb-offline-first-architect,opus,"Read, Write, Edit, Bash, Grep, Glob, WebSearch",20015,Offline-first PWA architect for DMB Almanac. Expert in Chromium 143+
dmb-prisma-unwinder.md,dmb-prisma-unwinder,sonnet,"Read, Write, Edit, Bash, Grep, Glob",13510,Extracts and transforms data from Prisma ORM schemas to Dexie.js-compatible
dmb-pwa-debugger.md,dmb-pwa-debugger,haiku,"Read, Write, Edit, Bash, Grep, Glob",14516,"PWA debugging specialist for DMB Almanac. Expert in Service Worker issues,"
dmb-scraper-debugger.md,dmb-scraper-debugger,haiku,"Read, Write, Edit, Bash, Grep, Glob, WebFetch",13013,Debugging specialist for DMB Almanac scraper issues. Expert in Playwright/Cheerio
dmb-setlist-pattern-analyzer.md,dmb-setlist-pattern-analyzer,haiku,"Read, Grep, Glob, WebFetch",10765,"Analyzes DMB setlist patterns, segues, song placement trends, opener/closer"
dmb-setlist-validator.md,dmb-setlist-validator,sonnet,"Read, Grep, Glob",3209,Lightweight Haiku worker for validating setlist structure and integrity.
dmb-show-analyzer.md,dmb-show-analyzer,haiku,"Read, Grep, Glob, WebFetch",8790,"Performs deep analysis of individual DMB shows including rarity scoring,"
dmb-show-validator.md,dmb-show-validator,sonnet,"Read, Grep, Glob",2388,"Lightweight Haiku worker for validating show data integrity. Checks dates,"
dmb-song-stats-checker.md,dmb-song-stats-checker,haiku,"Read, Grep, Glob",2796,Lightweight Haiku worker for validating song statistics consistency.
dmb-sqlite-specialist.md,dmb-sqlite-specialist,opus,"Read, Write, Edit, Bash, Grep, Glob",17333,"SQLite optimization specialist for DMB Almanac. Expert in better-sqlite3,"
dmb-tour-optimizer.md,dmb-tour-optimizer,haiku,"Read, Grep, Glob, WebFetch",11291,"Optimizes hypothetical DMB tour routes using venue geography, capacity"
dmb-venue-consistency-checker.md,dmb-venue-consistency-checker,haiku,"Read, Grep, Glob",3077,Lightweight Haiku worker for finding venue duplicates and data issues.
dmb/live-show-analyzer.md,live-show-analyzer,haiku,"Read, Grep, Glob, WebFetch",5981,"Performs deep analysis of individual DMB shows including rarity scoring,"
dmb/setlist-pattern-analyzer.md,setlist-pattern-analyzer,haiku,"Read, Grep, Glob",3795,"Analyzes DMB setlist patterns, segues, song placement trends, opener/closer"
dmb/tour-route-optimizer.md,tour-route-optimizer,sonnet,"Read, Grep, Glob, WebFetch",5302,"Optimizes hypothetical DMB tour routes using venue geography, capacity"
dmbalmanac-scraper.md,dmbalmanac-scraper,haiku,"Read, Write, Edit, Bash, Grep, Glob, WebFetch, WebSearch",34064,Web scraping specialist for extracting data from dmbalmanac.com. Expert
dmbalmanac-site-expert.md,dmbalmanac-site-expert,opus,"Read, Write, Edit, Bash, Grep, Glob, WebFetch, WebSearch",26135,"Expert on dmbalmanac.com site structure, database schema, features, navigation,"
documentation-writer.md,documentation-writer,sonnet,"Read, Edit, Grep, Glob",1572,>
ecommerce/amazon-seller-specialist.md,amazon-seller-specialist,haiku,"Read, Write, Edit, Grep, Glob, WebSearch",14233,"Expert Amazon marketplace strategist. Specializes in product listings, FBA optimization, PPC adverti"
ecommerce/e-commerce-analyst.md,e-commerce-analyst,haiku,"Read, Write, Grep, Glob, WebSearch",41322,"Expert in e-commerce analytics, conversion optimization, and customer"
ecommerce/e-commerce-strategist.md,ecommerce-strategist,haiku,"Read, Write, Edit, Grep, Glob, WebSearch",13984,Strategic e-commerce leader coordinating multi-channel retail operations. Specializes in platform se
ecommerce/ecommerce-orchestrator.md,ecommerce-orchestrator,opus,"Read, Write, Edit, Grep, Glob, Task",9056,"Coordinates 6 marketplace agents (Amazon, Shopify, Etsy, Social Commerce,"
ecommerce/etsy-specialist.md,etsy-specialist,haiku,"Read, Write, Edit, Grep, Glob, WebSearch",13102,"Expert Etsy marketplace strategist. Specializes in handmade and vintage product optimization, Etsy S"
ecommerce/inventory-manager.md,inventory-manager,haiku,"Read, Grep, Glob",7939,"Manages inventory synchronization, stock level optimization, fulfillment"
ecommerce/pricing-strategist.md,pricing-strategist,sonnet,"Read, Grep, Glob, WebFetch, WebSearch",9878,"Provides dynamic pricing recommendations, competitive analysis, margin"
ecommerce/print-on-demand-specialist.md,print-on-demand-specialist,haiku,"Read, Write, Edit, Grep, Glob, WebSearch",13226,"Expert in POD product design, mockup creation, and fulfillment optimization. Specializes in Printful"
ecommerce/shopify-specialist.md,shopify-specialist,haiku,"Read, Write, Edit, Bash, Grep, Glob, WebSearch",13234,"Expert Shopify developer and store strategist. Specializes in store setup, theme customization, app "
ecommerce/social-commerce-specialist.md,social-commerce-specialist,haiku,"Read, Write, Edit, Grep, Glob, WebSearch",12418,"Expert in social media shopping and direct sales. Specializes in Instagram Shopping, Facebook Shops,"
engineering/accessibility-specialist.md,accessibility-specialist,opus,"Read, Write, Edit, Bash, Grep, Glob",14034,"A11y expertise for WCAG compliance, screen reader testing, keyboard navigation,"
engineering/ai-ml-engineer.md,ai-ml-engineer,haiku,"Read, Write, Edit, Bash, Grep, Glob, WebSearch",9733,"Expert AI/ML engineer for machine learning models, training pipelines,"
engineering/ai-video-production-engineer.md,ai-video-production-engineer,sonnet,"Read, Write, Edit, Bash, Grep, Glob",6971,"Expert in AI video generation pipelines using Google Veo, Imagen, RunwayML,"
engineering/api-architect.md,api-architect,opus,"Read, Write, Edit, Bash, Grep, Glob, WebSearch",8955,REST and GraphQL API design specialist complementing tRPC. Expert in
engineering/api-endpoint-mapper.md,api-endpoint-mapper,haiku,"Read, Grep, Glob",4727,Lightweight Haiku worker for extracting all API routes with methods and
engineering/apple-silicon-optimizer.md,apple-silicon-optimizer,opus,"Read, Write, Edit, Bash, Grep, Glob",20957,"Expert in M-series Apple Silicon optimization for macOS 26.2, including"
engineering/aria-pattern-finder.md,aria-pattern-finder,haiku,"Read, Grep, Glob",4751,Lightweight Haiku worker for detecting ARIA accessibility issues. Reports
engineering/batch-formatter.md,batch-formatter,haiku,"Bash, Glob",2465,Lightweight Haiku worker for applying formatting to multiple files. Reports
engineering/build-time-profiler.md,build-time-profiler,haiku,"Read, Grep, Glob",5010,Lightweight Haiku worker for analyzing build performance bottlenecks.
engineering/bundle-entry-analyzer.md,bundle-entry-analyzer,haiku,"Read, Grep, Glob",4826,Lightweight Haiku worker for analyzing bundle entry points and dependencies.
engineering/bundle-size-analyzer.md,bundle-size-analyzer,haiku,"Read, Write, Edit, Bash, Grep, Glob, WebSearch",15278,"Expert in JavaScript bundle analysis, tree-shaking optimization, code"
engineering/chromium-browser-expert.md,chromium-browser-expert,sonnet,"Read, Write, Edit, Bash, Grep, Glob, WebSearch",29753,"Expert in Chromium 2025 browser internals, cutting-edge DevTools, rendering"
engineering/cicd-pipeline-architect.md,cicd-pipeline-architect,opus,"Read, Write, Edit, Bash, Grep, Glob",17927,"Expert in strategic CI/CD pipeline design, DevOps automation, and deployment strategies. Specializes"
engineering/clarifying-questioner.md,clarifying-questioner,sonnet,"Read, Grep, Glob",2477,Lightweight Haiku worker for asking targeted clarifying questions. Helps
engineering/client-database-migration-specialist.md,client-database-migration-specialist,opus,"Read, Write, Edit, Bash, Grep, Glob",14872,"Expert in migrating from server-side databases (Drizzle, Prisma, TypeORM)"
engineering/cloud-platform-architect.md,cloud-platform-architect,opus,"Read, Write, Edit, Bash, Grep, Glob, WebSearch",17736,"Expert in multi-cloud architecture (AWS, GCP, Azure). Specializes in Infrastructure as Code, cloud-n"
engineering/code-pattern-matcher.md,code-pattern-matcher,haiku,"Grep, Glob",2391,Lightweight Haiku worker for finding code patterns using regex. Returns
engineering/code-reviewer.md,code-reviewer,sonnet,"Read, Grep, Glob",8261,"Expert code reviewer for quality, security, performance, and maintainability."
engineering/code-simplifier.md,code-simplifier,sonnet,"Read, Write, Edit, Bash, Grep, Glob",14865,Expert in reducing code complexity by leveraging Chromium 2025 native
engineering/codebase-health-monitor.md,codebase-health-monitor,sonnet,"Read, Write, Edit, Bash, Grep, Glob, Task",7061,"Continuous codebase health monitoring using parallel Haiku workers. Tracks metrics over time, detect"
engineering/complexity-calculator.md,complexity-calculator,haiku,"Read, Grep, Glob",3801,Lightweight Haiku worker for calculating cyclomatic complexity per function.
engineering/component-prop-validator.md,component-prop-validator,sonnet,"Read, Grep, Glob",4559,"Lightweight Haiku worker for finding unused, untyped, or undocumented"
engineering/core-ml-optimization-expert.md,coreml-optimization-expert,sonnet,"Read, Write, Edit, Bash, Grep, Glob, WebSearch",17740,"Expert in Core ML model optimization, conversion from PyTorch/TensorFlow/ONNX,"
engineering/cross-platform-pwa-specialist.md,cross-platform-pwa-specialist,haiku,"Read, Write, Edit, Grep, Glob, Bash, WebSearch",30973,"Expert in platform-specific PWA behaviors, iOS limitations/workarounds,"
engineering/css-specificity-checker.md,css-specificity-checker,haiku,"Read, Grep, Glob",4599,Lightweight Haiku worker for detecting CSS specificity problems. Reports
engineering/d3-visualization-expert.md,d3-visualization-expert,sonnet,"Read, Write, Edit, Grep, Glob",16250,Expert in interactive data visualization with D3.js and Recharts. Specializes
engineering/data-streaming-specialist.md,data-streaming-specialist,opus,"Read, Write, Edit, Bash, Grep, Glob, WebSearch",17302,"Expert in Apache Kafka, event streaming architecture, event sourcing,"
engineering/database-architect.md,database-architect,opus,"Read, Write, Edit, Bash, Grep, Glob",16752,"Expert in database design, modeling, and architecture. Specializes in schema design, normalization, "
engineering/database-migration-specialist.md,database-migration-specialist,sonnet,"Read, Write, Edit, Bash, Grep, Glob, WebSearch",17414,"Expert in database migrations, schema evolution, zero-downtime deployments, cross-database migration"
engineering/database-specialist.md,database-specialist,opus,"Read, Write, Edit, Bash, Grep, Glob, WebSearch",9246,"Beyond Prisma - raw SQL optimization, query tuning, database administration,"
engineering/dead-code-detector.md,dead-code-detector,haiku,"Read, Grep, Glob",4915,Lightweight Haiku worker for finding unreachable and unused code blocks.
engineering/dead-doc-finder.md,dead-doc-finder,haiku,"Read, Grep, Glob",4882,Lightweight Haiku worker for finding documentation referencing non-existent
engineering/dependency-checker.md,dependency-checker,haiku,"Bash, Glob",2597,Lightweight Haiku worker for checking dependency versions and installation
engineering/design-token-validator.md,design-token-validator,opus,"Read, Grep, Glob",5111,Lightweight Haiku worker for validating design token usage. Reports hardcoded
engineering/devils-advocate.md,devils-advocate,opus,"Read, Grep, Glob",11219,"Expert in challenging solutions, finding weaknesses, stress-testing ideas,"
engineering/devops-engineer.md,devops-engineer,sonnet,"Read, Write, Edit, Bash, Grep, Glob, WebSearch",9947,"Expert DevOps engineer for CI/CD pipelines, infrastructure as code, containerization,"
engineering/devtools-mcp-integration-specialist.md,devtools-mcp-integration-specialist,sonnet,"Read, Write, Edit, Bash, Grep, Glob",17598,"Expert in Chrome DevTools MCP Server automation, AI-assisted debugging"
engineering/dexie-database-architect.md,dexie-database-architect,opus,"Read, Write, Edit, Bash, Grep, Glob",10061,"Expert in Dexie.js 4.x schema design, TypeScript integration, version"
engineering/dexie-react-integration-specialist.md,dexie-react-integration-specialist,sonnet,"Read, Write, Edit, Grep, Glob",11807,Expert in integrating Dexie.js with React using modern patterns. Specializes
engineering/docker-container-specialist.md,docker-container-specialist,opus,"Read, Write, Edit, Bash, Grep, Glob",13405,"Expert in container optimization, Docker Compose, and image management. Specializes in Dockerfile be"
engineering/dockerfile-linter.md,dockerfile-linter,haiku,"Read, Grep, Glob",5065,Lightweight Haiku worker for checking Dockerfile best practices. Reports
engineering/docstring-checker.md,docstring-checker,haiku,"Read, Grep, Glob",4523,Lightweight Haiku worker for finding functions and classes missing documentation.
engineering/engineering-manager.md,engineering-manager,sonnet,"Read, Write, Edit, Bash, Grep, Glob",9026,Engineering team orchestrator that bridges System Architect and individual
engineering/env-var-auditor.md,env-var-auditor,opus,"Read, Grep, Glob",4581,Lightweight Haiku worker for finding undocumented or unused environment
engineering/expert-planner.md,expert-planner,opus,"Read, Grep, Glob, WebSearch",9284,Strategic technical planner specializing in breaking complex projects
engineering/feature-flags-specialist.md,feature-flags-specialist,opus,"Read, Write, Edit, Bash, Grep, Glob",19364,"Expert in feature flag architecture, progressive rollouts, A/B testing"
engineering/fedcm-identity-specialist.md,fedcm-identity-specialist,sonnet,"Read, Write, Edit, Bash, Grep, Glob",19855,"Expert in Federated Credential Management (FedCM) API, identity provider"
engineering/file-pattern-finder.md,file-pattern-finder,haiku,"Glob, Grep",2074,Lightweight Haiku worker for finding files matching glob patterns. Returns
engineering/first-principles-thinker.md,first-principles-thinker,sonnet,"Read, Grep, Glob",9196,"Expert in breaking problems down to fundamental truths, challenging assumptions,"
engineering/full-stack-auditor.md,full-stack-auditor,opus,"Read, Write, Edit, Bash, Grep, Glob, Task",6184,Orchestrates comprehensive codebase audits using parallel Haiku workers. Correlates findings across 
engineering/full-stack-developer.md,full-stack-developer,sonnet,"Read, Write, Edit, Bash, Grep, Glob",7910,Versatile full-stack developer for end-to-end feature implementation
engineering/go-backend-specialist.md,go-backend-specialist,opus,"Read, Write, Edit, Bash, Grep, Glob",13396,"Expert in Go microservices, APIs, and cloud-native development. Specializes in Gin/Echo frameworks, "
engineering/google-apis-specialist.md,google-apis-specialist,sonnet,"Read, Write, Edit, Bash, Grep, Glob, WebSearch",28535,"Expert in Google Cloud APIs, Workspace APIs, Firebase, Google AI APIs"
engineering/graphql-query-analyzer.md,graphql-query-analyzer,haiku,"Read, Grep, Glob",4882,Lightweight Haiku worker for detecting GraphQL performance issues. Reports
engineering/grpc-service-analyzer.md,grpc-service-analyzer,haiku,"Read, Grep, Glob",5258,Lightweight Haiku worker for analyzing gRPC service definitions. Reports
engineering/gtag-event-validator.md,gtag-event-validator,sonnet,"Read, Grep, Glob",5484,Lightweight Haiku worker for validating analytics event tracking. Reports
engineering/i18n-specialist.md,i18n-specialist,haiku,"Read, Write, Edit, Grep, Glob, WebSearch",11900,"Expert in internationalization (i18n), localization (l10n), translation"
engineering/i18n-string-extractor.md,i18n-string-extractor,haiku,"Read, Grep, Glob",3592,Lightweight Haiku worker for finding hardcoded strings missing i18n wrappers.
engineering/import-analyzer.md,import-analyzer,haiku,"Read, Grep, Glob",2743,Lightweight Haiku worker for analyzing import statements in files. Reports
engineering/indexeddb-performance-specialist.md,indexeddb-performance-specialist,sonnet,"Read, Write, Edit, Bash, Grep, Glob",12049,"Expert in IndexedDB and Dexie.js performance optimization, bulk operations,"
engineering/indexeddb-storage-specialist.md,indexeddb-storage-specialist,haiku,"Read, Write, Edit, Bash, Grep, Glob",27443,"IndexedDB schema design, Dexie.js 4.x patterns, Cache API optimization,"
engineering/json-feed-validator.md,json-feed-validator,sonnet,"Read, Grep, Glob",5306,Lightweight Haiku worker for validating JSON/RSS/Atom feeds. Reports
